Emp_Id,Name,Department,Email,Company_Name,Salary,Join_Month,Country,Unit_Price,UnitSold,Total_Sale,Grade
1,Hemant,Development,Hemant.TechCorp@gmail.com,TechCorp,41687,May,Bangladesh,559,348,194532,B
2,Rohit,Marketing,Rohit.Microsoft@gmail.com,Microsoft,29457,Nov,Bhutan,683,440,300520,D
3,Himanshu,Sales,Himanshu.TechCorp@gmail.com,TechCorp,28825,Jan,India,567,321,182007,D
4,Sanjay,Finance,Sanjay.FinServe@gmail.com,FinServe,31800,Dec,SriLanka,546,398,217308,C
5,Himanshu,Support,Himanshu.Xaomi@gmail.com,Xaomi,34578,Dec,Pakistan,610,325,198250,C
6,Vikram,Engineering,Vikram.Xaomi@gmail.com,Xaomi,40414,May,Pakistan,573,301,172473,B
7,Rohit,Sales,Rohit.Apple@gmail.com,Apple,34905,Feb,Myanmar,630,316,199080,C
8,Vikram,Engineering,Vikram.Xaomi@gmail.com,Xaomi,34601,Nov,India,604,321,193884,C
9,Sachin,Development,Sachin.Tesla@gmail.com,Tesla,37282,Mar,India,585,390,228150,C
10,Anmol,Support,Anmol.Google@gmail.com,Google,44946,Dec,Pakistan,684,254,173736,B
11,Anmol,Marketing,Anmol.FinServe@gmail.com,FinServe,33072,Mar,China,503,378,190134,C
12,Anmol,Development,Anmol.Microsoft@gmail.com,Microsoft,34768,Feb,China,651,284,184884,C
13,Rohit,HR,Rohit.InnovateLtd@gmail.com,InnovateLtd,32465,May,Bangladesh,627,345,216315,C
14,Sachin,Support,Sachin.FinServe@gmail.com,FinServe,26329,Nov,Myanmar,662,436,288632,D
15,Sachin,Engineering,Sachin.Tesla@gmail.com,Tesla,38550,Apr,Myanmar,613,395,242135,C
16,Rohit,Finance,Rohit.GlobalSolutions@gmail.com,GlobalSolutions,25539,May,India,649,380,246620,D
17,Sachin,HR,Sachin.InnovateLtd@gmail.com,InnovateLtd,27392,Feb,Iran,679,411,279069,D
18,Anmol,Support,Anmol.GlobalSolutions@gmail.com,GlobalSolutions,26109,Jan,Bhutan,523,397,207631,D
19,Sachin,Engineering,Sachin.InnovateLtd@gmail.com,InnovateLtd,29090,Jan,Afghanistan,637,394,250978,D
20,Hemant,Solar,Hemant.Tesla@gmail.com,Tesla,29599,Dec,China,691,390,269490,D
21,Hemant,Finance,Hemant.InnovateLtd@gmail.com,InnovateLtd,42498,Dec,Afghanistan,594,327,194238,B
